json_file,week_section_number,word_count
s1-2022_FR-pages.json,9,234
s1-2022_FR-pages.json,10,536
s1-2022_FR-pages.json,11,203
s1-2022_FR-pages.json,12,227
s1-2022_Internship Final Report-pages#.json,1,338
s1-2022_Internship Final Report-pages#.json,2,334
s1-2022_Internship Final Report-pages#.json,3,323
s1-2022_Internship Final Report-pages#.json,4,314
s1-2022_Internship Final Report-pages#.json,5,374
s1-2022_Internship Final Report-pages#.json,6,396
s1-2022_Internship Final Report-pages#.json,7,231
s1-2022_Internship Final Report-pages#.json,8,252
s1-2022_Internship Final Report-pages#.json,9,320
s1-2022_Internship Final Report-pages#.json,10,265
s1-2022_Internship Final Report-pages#.json,11,432
s1-2022_Internship Final Report-pages#.json,12,425
s1-2023_46152717_Final_Report-pages.json,1,180
s1-2023_46152717_Final_Report-pages.json,2,366
s1-2023_46152717_Final_Report-pages.json,3,119
s1-2023_46152717_Final_Report-pages.json,4,97
s1-2023_46152717_Final_Report-pages.json,5,155
s1-2023_46152717_Final_Report-pages.json,6,63
s1-2023_46152717_Final_Report-pages.json,7,179
s1-2023_46152717_Final_Report-pages.json,8,89
s1-2023_46152717_Final_Report-pages.json,9,83
s1-2023_46152717_Final_Report-pages.json,10,121
s1-2023_46152717_Final_Report-pages.json,11,116
s1-2023_46152717_Final_Report-pages.json,12,486
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,1,331
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,2,353
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,3,487
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,4,357
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,5,342
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,6,440
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,7,265
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,8,365
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,9,873
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,10,350
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,11,376
s1-2023_46154825_TuanKhoiTran_FinalReport-pages.json,12,418
s1-2023_46187618-Final-Report-v3-pages.json,2,369
s1-2023_46187618-Final-Report-v3-pages.json,3,342
s1-2023_46187618-Final-Report-v3-pages.json,4,350
s1-2023_46187618-Final-Report-v3-pages.json,5,307
s1-2023_46187618-Final-Report-v3-pages.json,6,308
s1-2023_46187618-Final-Report-v3-pages.json,7,167
s1-2023_46187618-Final-Report-v3-pages.json,8,428
s1-2023_46187618-Final-Report-v3-pages.json,9,379
s1-2023_46187618-Final-Report-v3-pages.json,10,439
s1-2023_46187618-Final-Report-v3-pages.json,11,384
s1-2023_46187618-Final-Report-v3-pages.json,12,418
s1-2023_46187618-Final-Report-v3-pages.json,13,344
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,1,389
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,2,373
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,3,392
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,4,377
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,5,474
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,6,385
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,7,205
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,8,345
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,9,348
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,10,283
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,11,243
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,12,304
s1-2023_46199551_COMP8851_Internship_Report_Final-pages#.json,13,245
s1-2023_46219285_Final_report(Internship)-pages.json,1,322
s1-2023_46219285_Final_report(Internship)-pages.json,2,332
s1-2023_46219285_Final_report(Internship)-pages.json,3,223
s1-2023_46219285_Final_report(Internship)-pages.json,4,312
s1-2023_46219285_Final_report(Internship)-pages.json,5,259
s1-2023_46219285_Final_report(Internship)-pages.json,6,356
s1-2023_46219285_Final_report(Internship)-pages.json,7,337
s1-2023_46219285_Final_report(Internship)-pages.json,8,194
s1-2023_46219285_Final_report(Internship)-pages.json,9,225
s1-2023_46219285_Final_report(Internship)-pages.json,10,259
s1-2023_46219285_Final_report(Internship)-pages.json,11,205
s1-2023_46219285_Final_report(Internship)-pages.json,12,160
s1-2023_46219285_Final_report(Internship)-pages.json,13,188
s1-2023_46806423 - Final Internship Report-pages.json,1,356
s1-2023_46806423 - Final Internship Report-pages.json,2,331
s1-2023_46806423 - Final Internship Report-pages.json,3,281
s1-2023_46806423 - Final Internship Report-pages.json,4,264
s1-2023_46806423 - Final Internship Report-pages.json,5,284
s1-2023_46806423 - Final Internship Report-pages.json,6,139
s1-2023_46806423 - Final Internship Report-pages.json,7,86
s1-2023_46806423 - Final Internship Report-pages.json,8,174
s1-2023_46806423 - Final Internship Report-pages.json,9,196
s1-2023_46806423 - Final Internship Report-pages.json,10,154
s1-2023_46806423 - Final Internship Report-pages.json,11,159
s1-2023_46806423 - Final Internship Report-pages.json,12,158
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,1,582
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,2,413
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,3,565
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,4,673
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,5,479
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,6,844
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,7,396
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,8,293
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,9,260
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,10,236
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,11,290
s1-2023_COMP8851 INTERNSHIP REPORT_46339868-pages.json,12,184
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,1,373
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,2,152
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,3,357
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,4,282
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,5,325
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,6,302
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,7,164
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,8,213
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,9,181
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,10,230
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,11,218
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,12,293
s1-2023_Final Internship Report by Alena Vokhmyakova -pages.json,13,199
s1-2023_Final Report 46313966-pages#.json,1,196
s1-2023_Final Report 46313966-pages#.json,2,539
s1-2023_Final Report 46313966-pages#.json,3,466
s1-2023_Final Report 46313966-pages#.json,4,594
s1-2023_Final Report 46313966-pages#.json,5,473
s1-2023_Final Report 46313966-pages#.json,6,518
s1-2023_Final Report 46313966-pages#.json,7,558
s1-2023_Final Report 46313966-pages#.json,8,435
s1-2023_Final Report 46313966-pages#.json,9,536
s1-2023_Final Report 46313966-pages#.json,10,454
s1-2023_Final Report 46313966-pages#.json,11,376
s1-2023_Final Report 46313966-pages#.json,12,372
s1-2023_Final Report 46313966-pages#.json,13,204
s1-2023_Final Report-pages.json,1,417
s1-2023_Final Report-pages.json,2,277
